estados,if,while,for,switch,int,char,bool,;,=,and,or,xor,not,(,),+,-,*,/,<,>,<=,>=,!=,==,{,},else,case,break,num,id,char,:,read,printf,"""",lambda,$,<program>,<inst>,<declaration>,<declaration2>,<atrib>,<atrib2>,<tipo>,<expr>,<binaria>,<unaria>,<unaria_term>,<termo>,<op>,<op_log>,<op_rel>,<op_arit>,<if>,<else>,<switch>,<case-loop>,<case>,<case2>,<for>,<attr_for>,<while>,<print>,<print2>,<read>
89,R17,R17,R17,R17,R17,R17,R17,,,,,,,,,,,,,,,,,,,,,,,,,R17,,,R17,R17,,R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,100,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
92,,,,,,,,R23,,,,,,,R23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,R28,,R28,R28,R28,,,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,101,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
95,,,,,,,,E102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,R54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,
98,R13,R13,R13,R13,R13,R13,R13,,,,,,,,,,,,,,,,,,,,,,,,,R13,,,R13,R13,,R13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,E105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,E106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,E107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,E108,,,,,E42,E43,,,E41,,,,,,,,,,,,,,E45,E44,,,,,,,,,,,,,,,,38,39,,40,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,E110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,E112,,,,,,,,,,E113,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,
107,R55,R55,R55,R55,R55,R55,R55,,,,,,,,,,,,,,,,,,,,,,,,,R55,,,R55,R55,,R55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,E114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,E115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E118,E117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,E119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,R60,R60,R60,R60,R60,R60,R60,,,,,,,,,,,,,,,,,,,,,,,,,R60,,,R60,R60,,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,E120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,E121,,E104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,133,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,E122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,E123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,124,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
120,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,125,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
121,R62,R62,R62,R62,R62,R62,R62,,,,,,,,,,,,,,,,,,,,,,,,,R62,,,R62,R62,,R62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,E128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,E129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,130,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
127,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,131,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
128,R48,R48,R48,R48,R48,R48,R48,,,,,,,,,,,,,,,,,,,,,,,,,R48,,,R48,R48,,R48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,R53,R53,R53,R53,R53,R53,R53,,,,,,,,,,,,,,,,,,,,,,,,,R53,,,R53,R53,,R53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R52,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,R49,R49,R49,R49,R49,R49,R49,,,,,,,,,,,,,,,,,,,,,,,,,R49,,,R49,R49,,R49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,E135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,E121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,133,,,,,,,
136,R61,R61,R61,R61,R61,R61,R61,,,,,,,,,,,,,,,,,,,,,,,,,R61,,,R61,R61,,R61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
